"head","tail","relation","label"
"金蝉子","唐僧","past_life","前世"
"孙悟空","唐僧","apprentice","徒弟"
"猪八戒","唐僧","apprentice","徒弟"
"沙僧","唐僧","apprentice","徒弟"
"白龙马","唐僧","apprentice","徒弟"
"陈光蕊","唐僧","father","父亲"
"殷温娇","唐僧","mother","母亲"
"法明和尚","唐僧","master","师父"
"李世民","唐僧","elder_sworn_brother","义兄"
"殷开山","殷温娇","father","父亲"
"唐僧","孙悟空","master","师傅"
"菩提老祖","孙悟空","master","师傅"
"猪八戒","孙悟空","younger_brother_with_the_same_master","师弟"
"沙僧","孙悟空","younger_brother_with_the_same_master","师弟"
"白龙马","孙悟空","younger_brother_with_the_same_master","师弟"
"镇元子","孙悟空","elder_sworn_brother","义兄"
"牛魔王","孙悟空","elder_sworn_brother","义兄"
"蛟魔王","孙悟空","elder_sworn_brother","义兄"
"鹏魔王","孙悟空","elder_sworn_brother","义兄"
"狮驼王","孙悟空","elder_sworn_brother","义兄"
"猕猴王","孙悟空","elder_sworn_brother","义兄"
"禺狨王","孙悟空","elder_sworn_brother","义兄"
"孙悟空","猪八戒","elder_brother_with_the_same_master","师兄"
"沙僧","猪八戒","younger_brother_with_the_same_master","师弟"
"白龙马","猪八戒","younger_brother_with_the_same_master","师弟"
"唐僧","猪八戒","master","师傅"
"天蓬元帅","猪八戒","past_life","前世"
"猪八戒","卵二姐","husband","夫"
"猪八戒","高翠兰","husband","夫"
"孙悟空","沙僧","elder_brother_with_the_same_master","师兄"
"白龙马","沙僧","younger_brother_with_the_same_master","师弟"
"唐僧","沙僧","master","师傅"
"卷帘大将","沙僧","past_life","前世"
"西海龙王","白龙马","father","父亲"
"西海龙母","白龙马","mother","母亲"
"敖摩昂太子","白龙马","elder_brother","兄"
"西海龙女","白龙马","younger_sister","妹妹"
"唐僧","白龙马","master","师傅"
"孙悟空","白龙马","elder_brother_with_the_same_master","师兄"
"沙僧","白龙马","elder_brother_with_the_same_master","师兄"
"猪八戒","白龙马","elder_brother_with_the_same_master","师兄"
"李渊","李世民","father","父亲"
"李建成","李世民","elder_brother","兄"
"李元吉","李世民","younger_brother","弟"
"王珪","李世民","minister","臣"
"秦琼","李世民","minister","臣"
"萧瑀","李世民","minister","臣"
"傅奕","李世民","minister","臣"
"魏征","李世民","minister","臣"
"李玉英","李世民","younger_sister","妹"
"房玄龄","李世民","minister","臣"
"杜如晦","李世民","minister","臣"
"徐世绩","李世民","minister","臣"
"徐茂公","李世民","minister","臣"
"许敬宗","李世民","minister","臣"
"马三宝","李世民","minister","臣"
"段志贤","李世民","minister","臣"
"程咬金","李世民","minister","臣"
"虞世南","李世民","minister","臣"
"张道源","李世民","minister","臣"
"张士衡","李世民","minister","臣"
"高太公","高翠兰","father","父"
"高香兰","高翠兰","elder_sister","姐姐"
"高玉兰","高翠兰","elder_sister","姐姐"
"高香兰","高玉兰","elder_sister","姐姐"
"寇洪","寇梁","father","父"
"寇梁","宼栋","elder_brother","兄"
"袁守诚","袁天罡","brother_of_the_father","叔"
"李靖","木吒","father","父"
"李靖","哪吒","father","父"
"李靖","金吒","father","父"
"正元龙","观音菩萨","apprentice","徒弟"
"木吒","观音菩萨","apprentice","徒弟"
"二十四路诸天","观音菩萨","apprentice","徒弟"
"守山大神","观音菩萨","servant","仆人"
"善财童子","观音菩萨","apprentice","徒弟"
"捧珠龙女","观音菩萨","apprentice","徒弟"
"金吒","如来","apprentice","徒弟"
"红孩儿","牛魔王","son","儿"
"黑风怪","观音菩萨","servant","仆人"
"黄风怪","灵吉菩萨","servant","仆人"
"黄毛貂鼠","灵吉菩萨","servant","仆人"
"金角","太上老君","servant","仆人"
"银角","太上老君","servant","仆人"
"铁扇公主","牛魔王","wife","妻"
"九尾狐狸","金角","mother","母"
"九尾狐狸","银角","mother","母"
"狐阿七","金角","brother_of_the_mother","舅"
"狐阿七","银角","brother_of_the_mother","舅"
"鼍龙怪","西海龙王太子","servant","仆人"
"灵感大王","观音菩萨","servant","仆人"
"独角兕大王","太上老君","mount","坐骑"
"牛魔王","哪吒","servant","仆人"
"玉面公主","牛魔王","concubine","妾"
"金毛犼","观音菩萨","mount","坐骑"
"黄眉道童","弥勒佛","servant","仆人"
"百眼魔君","毗蓝婆菩萨","servant","仆人"
"青狮","文殊菩萨","mount","坐骑"
"白象","普贤菩萨","mount","坐骑"
"大鹏金翅雕","如来","servant","仆人"
"九头狮子","太乙救苦天尊","mount","坐骑"
"玉兔精","嫦娥","servant","仆人"
"白鹿精","南极寿星","mount","坐骑"
"黄眉大王","东来佛祖笑和尚","servant","仆人"
"毗蓝婆菩萨","昴日星官","mother","母亲"
"嫦娥","后羿","wife","妻"
"敖摩昂","敖闰","son","儿"
"哪吒","李靖","son","儿"
"哪吒","如来","apprentice","徒弟"
